100001	100925
100001	100595
100001	100307
100001	100580
100001	100741
100001	100788
100001	100437
100001	100333
100001	100780
100001	100102
100001	100786
100001	100836
100001	100762
100001	100497
100001	100427
100001	100947
100001	100823
100001	100710
100001	100159
100001	100121
100001	100911
100001	100869
100001	100450
100001	100706
100001	100401
100001	100646
100001	100697
100001	100301
100001	100593
100001	100958
100002	100157
100002	100798
100002	100133
100002	100549
100002	100985
100002	100824
100002	100424
100002	100965
100002	100795
100002	100175
100002	100570
100002	100934
100002	100206
100002	100021
100002	100850
100002	100727
100002	100759
100002	100199
100002	100750
100002	100435
100003	100467
100003	100783
100003	100325
100003	100097
100003	100886
100003	100979
100003	100622
100003	100161
100003	100440
100003	100991
100003	100991
100003	100469
100003	100424
100003	100693
100003	100128
100003	100287
100003	100248
100003	100572
100003	100522
100003	100277
100003	100527
100003	100535
100003	100640
100003	100816
100003	100017
100003	100033
100003	100093
100003	100450
100003	100373
100003	100163
100003	100462
100003	100382
100003	100533
100003	100030
100003	100610
100003	100323
100003	100782
100003	100421
100003	100164
100003	100977
